,index,title,score
719,0,Money Monster,55
720,0,Downsizing,63
721,0,Annihilation,79
722,0,13 Hours: The Secret Soldiers of Benghazi,48
723,0,Central Intelligence,52
724,0,The Gallows,30
725,0,Woman in Gold,51
726,0,Spotlight,93
727,0,Ride Along 2,32
728,0,Teenage Mutant Ninja Turtles: Out of the Shadows,40
729,0,The Boss Baby,50
730,0,Kubo and the Two Strings,84
731,0,Dark Phoenix,43
732,0,Assassin's Creed,36
733,0,Florence Foster Jenkins,71
734,0,Hotel Transylvania 3: Summer Vacation,54
735,0,Spider-Man: Homecoming,73
736,0,La La Land,93
737,0,Hacksaw Ridge,71
738,0,The Greatest Showman,48
739,0,10 Cloverfield Lane,76
740,0,The Big Short,81
741,0,The Purge: Election Year,55
742,0,War Room,26
743,0,Mary and The Witch's Flower,75
744,0,The Shallows,59
745,0,Mike and Dave Need Wedding Dates,51
746,0,Zoolander 2,34
747,0,Jason Bourne,58
748,0,Despicable Me 3,49
749,0,Ouija: Origin of Evil,65
750,0,Transformers: The Last Knight,27
751,0,Storks,56
752,0,Ready Player One,64
753,0,Fifty Shades Freed,31
754,0,Rogue One: A Star Wars Story,65
755,0,Maze Runner: The Death Cure,50
756,0,Love the Coopers,31
757,0,Neighbors 2: Sorority Rising,58
758,0,The Nut Job 2: Nutty by Nature,36
759,0,Blade Runner 2049,81
760,0,The Secret Life of Pets,61
761,0,Hell or High Water,88
762,0,The Fate of the Furious,56
763,0,Baby Driver,86
764,0,Manchester by the Sea,96
765,0,American Made,65
766,0,Jack Reacher: Never Go Back,47
767,0,Barbershop: The Next Cut,67
768,0,Fantastic Beasts: The Crimes of Grindelwald,52
769,0,Tomb Raider,48
770,0,Miracles from Heaven,44
771,0,Valerian and the City of a Thousand Planets,51
772,0,Kingsman: The Golden Circle,44
773,0,Mission: Impossible – Fallout,86
774,0,Solo: A Star Wars Story,62
775,0,Hostiles,65
776,0,Baywatch,37
777,0,The Shack,32
778,0,Book Club,53
779,0,Fifty Shades Darker,33
780,0,Pitch Perfect 3,40
781,0,The Equalizer 2,50
782,0,Jurassic World: Fallen Kingdom,51
783,0,Atomic Blonde,63
784,0,Ant-Man and the Wasp,70
785,0,The Favourite,90
786,0,Jumanji: Welcome to the Jungle,58
787,0,Lion,69
788,0,"Three Billboards Outside Ebbing, Missouri",88
789,0,Fences,79
790,0,First Man,84
